EPN 1st CTF with ITS     1st CTF with MFT
131 2022-05-26-13-25-21  2022-05-26-13-25-21
132 2022-05-28-08-31-26  2022-05-28-08-48-41
133 2022-05-31-18-16-30  2022-05-31-18-16-30
135 2022-05-31-18-16-29  2022-05-31-18-16-29
136 2022-05-31-18-16-30  2022-05-31-18-16-30
137 2022-05-31-18-16-29  2022-05-31-18-16-29
138 2022-05-31-18-16-29  2022-05-31-18-16-29
139 2022-05-26-13-25-21  2022-05-26-13-25-21
140 2022-05-31-18-16-29  2022-05-31-18-16-29
141 2022-05-31-18-16-30  2022-05-31-18-16-30
142 2022-05-31-18-16-30  2022-05-31-18-16-30
143 2022-06-01-14-07-50  2022-06-01-14-07-50
144 2022-05-31-18-16-30  2022-05-31-18-16-30
146 2022-05-31-18-16-30  2022-05-31-18-16-30
147 2022-05-28-08-31-26  2022-05-28-08-48-41
148 2022-05-31-18-16-30  2022-05-31-18-16-30
150 2022-05-31-18-16-30  2022-05-31-18-16-30
151 2022-05-31-18-16-30  2022-05-31-18-16-30
152 2022-06-01-09-14-45  2022-06-01-09-14-45
153 2022-05-31-18-16-30  2022-05-31-18-16-30
154 2022-05-31-18-16-29  2022-05-31-18-16-29
155 2022-05-26-13-25-21  2022-05-26-13-25-21
157 2022-05-31-18-16-29  2022-05-31-18-16-29
158 2022-05-26-13-25-21  2022-05-26-13-25-21
160 2022-05-31-18-16-30  2022-05-31-18-16-30
161 2022-05-31-18-16-29  2022-05-31-18-16-29
162 2022-05-31-18-16-29  2022-05-31-18-16-29
163 2022-06-01-09-14-44  2022-06-01-13-42-13
164 2022-05-31-18-16-30  2022-05-31-18-16-30
165 2022-05-26-13-25-21  2022-05-26-13-25-21
166 2022-05-31-18-16-30  2022-05-31-18-16-30
167 2022-05-31-18-16-30  2022-05-31-18-16-30
168 2022-05-31-18-16-30  2022-05-31-18-16-30
169 2022-05-28-08-31-26  2022-05-28-08-48-41
170 2022-05-26-13-25-21  2022-05-26-13-25-21
171 2022-05-31-18-16-29  2022-05-31-18-16-29
172 2022-05-26-14-08-32  2022-05-26-14-08-32
173 2022-06-01-09-14-45  2022-06-01-13-42-14
174 2022-05-31-18-16-30  2022-05-31-18-16-30
175 2022-06-01-14-07-50  2022-06-01-14-07-50
176 2022-05-26-13-25-21  2022-05-26-13-25-21
177 2022-05-31-18-16-29  2022-05-31-18-16-29
178 2022-05-31-18-16-30  2022-05-31-18-16-30
179 2022-05-31-18-16-30  2022-05-31-18-16-30
180 2022-05-31-18-16-29  2022-05-31-18-16-29
181 2022-05-31-18-16-30  2022-05-31-18-16-30
182 2022-05-31-18-16-29  2022-05-31-18-16-29
183 2022-05-26-13-25-21  2022-05-26-13-25-21
184 2022-06-01-09-14-45  2022-06-01-09-14-45
185 2022-05-31-18-16-30  2022-05-31-18-16-30
186 2022-06-01-14-07-50  2022-06-01-14-07-50
187 2022-05-26-13-25-21  2022-05-26-13-25-21
188 2022-06-01-09-14-45  2022-06-01-09-14-45
190 2022-06-01-09-14-45  2022-06-01-09-14-45
192 2022-06-01-14-07-50  2022-06-01-11-59-06
193 2022-06-01-14-07-51  2022-06-01-11-59-06
194 2022-06-01-09-14-45  2022-06-01-09-14-45
195 2022-06-01-09-14-44  2022-06-01-09-14-44
196 2022-05-28-08-31-26  2022-05-28-08-48-41
197 2022-06-01-09-14-44  2022-06-01-09-14-44
198 2022-05-26-13-25-21  2022-05-26-13-25-21
199 2022-05-26-13-25-22  2022-05-26-13-25-22
200 2022-05-26-13-25-21  2022-05-26-13-25-21
201 2022-05-28-08-31-26  2022-05-28-08-48-41
203 2022-06-01-09-14-44  2022-06-01-09-14-44
204 2022-06-01-13-01-22  2022-06-01-14-07-51
205 2022-06-01-09-14-45  2022-06-01-09-14-45
206 2022-05-26-13-25-21  2022-05-26-13-25-21
207 2022-06-01-14-07-50  2022-06-01-14-07-50
208 2022-06-01-09-14-45  2022-06-01-09-14-45
209 2022-06-01-09-14-45  2022-06-01-09-14-45
211 2022-06-01-12-52-54  2022-06-01-14-07-50
212 2022-06-01-09-14-45  2022-06-01-09-14-45
213 2022-06-01-09-14-45  2022-06-01-09-14-45
214 2022-06-01-14-07-50  2022-06-01-11-59-06
215 2022-06-01-14-07-50  2022-06-01-11-59-06
216 2022-05-26-13-25-21  2022-05-26-13-25-21
217 2022-06-01-09-14-45  2022-06-01-09-14-45
218 2022-06-01-14-07-51  2022-06-01-14-07-51
219 2022-06-01-09-14-44  2022-06-01-09-14-44
220 2022-06-01-09-14-45  2022-06-01-09-14-45
221 2022-06-01-09-14-45  2022-06-01-09-14-45
222 2022-06-01-09-14-45  2022-06-01-09-14-45
224 2022-06-01-14-07-50  2022-06-01-11-59-06
225 2022-06-01-14-07-51  2022-06-01-11-59-06
226 2022-05-26-13-25-21  2022-05-26-13-25-21
227 2022-06-01-09-14-45  2022-06-01-09-14-45
229 2022-06-01-09-14-45  2022-06-01-09-14-45
230 2022-06-01-14-07-50  2022-06-01-11-59-06
231 2022-06-01-09-14-45  2022-06-01-09-14-45
232 2022-06-01-14-07-50  2022-06-01-11-59-06
233 2022-06-01-14-07-50  2022-06-01-14-07-50
234 2022-06-01-13-01-22  2022-06-01-14-07-50
236 2022-06-01-12-52-54  2022-06-01-14-07-51
237 2022-06-01-09-14-45  2022-06-01-09-14-45
238 2022-06-01-14-07-51  2022-06-01-11-59-06
239 2022-06-01-14-07-51  2022-06-01-14-07-51
240 2022-06-01-09-14-45  2022-06-01-09-14-45
241 2022-06-01-09-14-45  2022-06-01-09-14-45
242 2022-06-01-14-07-50  2022-06-01-11-59-06
243 2022-06-01-12-52-54  2022-06-01-14-07-51
244 2022-06-01-09-14-45  2022-06-01-09-14-45
245 2022-06-01-09-14-45  2022-06-01-09-14-45
